Level 1,Level 2,Level 3,Result Folder,Result File,IoU,Chamfer Distance
buis_recht,recht_versmal,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.0797299848435798
buis_recht,recht_S_60,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.09860047238953987
buis_recht,recht_S_60,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.0982147219788371
buis_recht,recht_S_60,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.09630162564100586
buis_recht,recht_S_60,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.10240153887244169
buis_recht,recht_S_60,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.10263316588095173
buis_recht,recht_S_60,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.10270304833355651
buis_recht,recht_bocht_45+60,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.12562765512937296
buis_recht,recht_bocht_45+60,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.1275653008692389
buis_recht,recht_bocht_45+60,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.12090228675635459
buis_recht,recht_bocht_45+60,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.12968633411559619
buis_recht,recht_bocht_45+60,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.12758968101849288
buis_recht,recht_bocht_45+60,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.12110557517692697
buis_recht,recht_S_45,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.08730033358316691
buis_recht,recht_S_45,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.08350947621556895
buis_recht,recht_S_45,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.08209758180684952
buis_recht,recht_S_45,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.08899376454443608
buis_recht,recht_S_45,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.08617504181821377
buis_recht,recht_S_45,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.08491219966722768
buis_recht,recht_bocht_90+90,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.18493468288180193
buis_recht,recht_bocht_90+90,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.18876231793336629
buis_recht,recht_bocht_90+90,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.18869366596697468
buis_recht,recht_bocht_90+90,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.17423177949203109
buis_recht,recht_bocht_90+90,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.1770191721742383
buis_recht,recht_bocht_90+90,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.17821416407204352
buis_recht,recht_recht,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.057525889733864244
buis_recht,recht_recht,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.0573580940413303
buis_recht,recht_recht,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.05646057471087987
buis_recht,recht_recht,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.22509350456560126
buis_recht,recht_recht,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.2244484797152278
buis_recht,recht_recht,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.22459964771801802
buis_recht,recht_S_90,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.11655999079868049
buis_recht,recht_S_90,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.11511573523754783
buis_recht,recht_S_90,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.11310910613895933
buis_recht,recht_S_90,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.11828318321663045
buis_recht,recht_S_90,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.11636367747469611
buis_recht,recht_S_90,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.11706189123278511
buis_recht,recht_bocht_45+45,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.1082064475788933
buis_recht,recht_bocht_45+45,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.12854617777450564
buis_recht,recht_bocht_45+45,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.11719621144701081
buis_recht,recht_bocht_45+45,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.10992646795104061
buis_recht,recht_bocht_45+45,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.1239751863756866
buis_recht,recht_bocht_45+45,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.10960192937547993
buis_recht,recht_bocht_45+90,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.14399183789348768
buis_recht,recht_bocht_45+90,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.14154260792500095
buis_recht,recht_bocht_45+90,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.14596293954532885
buis_recht,recht_bocht_45+90,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.13377227834896105
buis_recht,recht_bocht_45+90,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.1348364114181501
buis_recht,recht_bocht_45+90,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.1394538995238353
buis_recht,recht_Y_45,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.11088627620967047
buis_recht,recht_Y_45,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.11496556420062809
buis_recht,recht_Y_45,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.10786187899356109
buis_recht,recht_Y_45,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.12601214076658288
buis_recht,recht_Y_45,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.12939391257859295
buis_recht,recht_Y_45,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.11133583245103479
buis_recht,recht_bocht_15,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.07769480991494972
buis_recht,recht_bocht_15,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.07288908426386487
buis_recht,recht_bocht_15,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.0740429913288409
buis_recht,recht_bocht_15,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.06982987045794956
buis_recht,recht_bocht_15,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.06633894383370538
buis_recht,recht_bocht_15,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.06571756525438688
buis_recht,recht_T_60,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.10399910215992132
buis_recht,recht_T_60,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.10520446207833584
buis_recht,recht_T_60,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.09677178884485539
buis_recht,recht_T_60,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.10242423118440738
buis_recht,recht_T_60,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.10136434741208766
buis_recht,recht_T_60,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.09493872268126843
buis_recht,recht_bocht_45,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.10522369472839996
buis_recht,recht_bocht_45,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.1084875442500012
buis_recht,recht_bocht_45,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.10435295069426698
buis_recht,recht_bocht_45,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.10546141498832298
buis_recht,recht_bocht_45,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.10754852179455732
buis_recht,recht_bocht_45,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.10411291336083323
buis_recht,recht_versmal_kort,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.10705870559821902
buis_recht,recht_versmal_kort,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.11572838699120017
